character,text,final_label
Charles,I think it was flan.,Food
Charles,"Hey, Gina. You know any scalpers? I wanna ask Rosa to go to the Rihanna concert with me, but it's sold out.",Romance
Charles,Yeah. What's your second point?,Conversation Glue
Charles,"Yeah, that was my ex-wife's type too.",Personal Life
Charles,Cool. Where would I find a place that shows old movies?,Personal Life
Charles,Great.,Conversation Glue
Charles,Thank you.,Conversation Glue
Charles,"Oh, man! My muffin. Ahh! Oh, my head! My muffin, my head! And I stepped on the... On my muffin! And my head and my muffin.",Food
Charles,"Hey, that's mine. You took it from my desk.",Personal Life
Charles,Thanks!,Conversation Glue
Charles,"Yeah, he's a little too serious. What do you think, Rosa?",Personal Life
Charles,"Yeah, he seems cool. I agree.",Conversation Glue
Charles,"Jamon lberico is an amazing cured ham from Spain. They had it at my uncle's funeral. I gorged myself at that funeral. I mean, I was constipated for three days.",Food
Charles,"Hey, Rosa! Rosa. Rosa! Um, I just happened to notice that there's an old movie festival playing at the film forum this week. Wanna go?",Romance
Charles,Cool! Awesome. There's a bunch of movie options. I'll probably just go with something classic like Citizen Kane.,Personal Life
Charles,Good call. Smart. I'll do it. I'll pick a better movie than Citizen Kane.,Personal Life
Charles,"No surprises from the coroner. A few gunshots, shoulder and chest.",Police Work
Charles,Mm-hmm.,Conversation Glue
Charles,Yep.,Conversation Glue
Charles,Jamon lberico.,Food
Charles,Beneficio's might.,Food
Charles,You gotta brief the C.O. first.,Police Work
Charles,Great idea.,Conversation Glue
Charles,"Oh! I'm Henry Morgenthau, owner of delicious and expensive hams. Don't I know you from the grocery store?",Food
Charles,On it!,Conversation Glue
Charles,"Whoa, whoa, whoa, whoa, Ratko!",Police Work
Charles,That's a waste of manchego!,Food
Charles,"Oh, well, just to be safe, I bought tickets to all of them.",Personal Life
Charles,"I don't know, I didn't wanna mess up. Because you're sort of... Opinionated.",Emotion
Charles,So we can go see North by Northwest.,Personal Life
Charles,Good call. Smart. Keep it profesh.,Police Work
Charles,Why don't you just go to the movies with me?,Romance
Charles,"Okay. Well, this is awkward.",Emotion
Charles,Stay down.,Police Work
Charles,Dream team.,Emotion
Charles,"Oh, look at this. The drug dealer got a B.A. in art history from Brooklyn college. Interesting, huh?",Police Work
Charles,"Well, it's surprising because you would think he had studied... drugs.",Police Work
Charles,"I just want to apologize for my fellow detectives’ behavior. Okay, my granny also had the gift.",Personal Life
Charles,She was right. She died two years later.,Personal Life
Charles,Rosa. Yes?,Conversation Glue
Charles,Thank you.,Conversation Glue
Charles,"Oh, no. The cabinets are blue.",Police Work
Charles,The psychic predicted the drugs would be found in something blue.,Police Work
Charles,She also made this really depressing prediction about my life.,Emotion
Charles,"And if she's right about where we find the drugs, that means she's right about the other thing.",Police Work
Charles,What color was the hamper?,Police Work
Charles,Yes. The clothes hamper was green. The clothes hamper was green! Drinks on me.,Police Work
Charles,"I hate to be the bearer of bad news, but your psychic friend's predictions about the drug case were wrong, which means all of her predictions are wrong.",Police Work
Charles,We found the cocaine behind a green hamper. Never said “green” or the letter H.,Police Work
Charles,Lady bin?,Conversation Glue
Charles,Nothing. What about you... are doing tonight?,Personal Life
Charles,"Man, you were totally right about the cocaine, and you were also right about Rosa.",Police Work
Charles,The woman I-,Romance
Charles,"Yes, that woman.",Romance
Charles,"Oh, my god.",Emotion
Charles,"I don’t know, man. I’m lost. The universe is a cruel and vexing puzzle. I-I’m at the whim of the cosmos.",Emotion
Charles,Choo. Yes.,Conversation Glue
Charles,"Um, Carlene predicted if I get out of this chair, I’d get badly hurt, so I’m not chancing it. Oh, man. There’s no more pudding cups left. Ah! What’d you do that for?",Emotion
Charles,"Carlene was wrong, Gina. Rosa said it herself-- I’m in charge of my own destiny. That means she wants me to make a move.",Romance
Charles,"No, no, she punched me to prove Carlene wrong.",Personal Life
Charles,"I know, it’s crazy.",Conversation Glue
Charles,"I like Turner & Hooch. Tom Hanks, reluctant friendship with a dog. That hits me where I live.",Personal Life
Charles,"Well, we shall see what we shall see.",Conversation Glue
Charles,Damn it! This is Jeffrey Dahmer's corduroys all over again.,Emotion
Charles,"Hey, Sarge, I need someone to fill out a lineup. Will you be Scary Terry?",Police Work
Charles,No one asked you to take your shirt off. Stop volunteering to take your shirt off.,Personal Life
Charles,I'm- I'm not really her husband.,Personal Life
Charles,"Okay, this is Ethel Musterberg from the Prospect Heights Senior Center. There was an I.D. card in her back pocket.",Police Work
Charles,Frisked! I frisked her butt!,Police Work
Charles,"Well, I haven't really been in a slump since my divorce. So I'd tell this person, ""Maybe get divorced."" He'd have to get married first.",Personal Life
Charles,We're helping Jake's friend get out of his slump.,Personal Life
Charles,I had the same exact one when I was a kid!,Personal Life
Charles,"You want some help, big man?",Personal Life
Charles,On the side of the turret-,Personal Life
Charles,"Hey, slump, you're about to get nailed by the Jake Hammer.",Personal Life
Charles,"No, you are not, Jake Rabbit.",Conversation Glue
Charles,Apartment's clear.,Police Work
Charles,"Oh, bird pooped on your shoulder. No, wait... Pooped on your head, then dripped onto your shoulder.",Personal Life
Charles,"I'm telling you, it's good luck.",Personal Life
Charles,You could eat off his shirt.,Food
Charles,Man... Girls are so scary.,Romance
Charles,"Could be a year. Could be a decade. Sorry, we're just saying bigger and bigger numbers.",Conversation Glue
Charles,You okay?,Conversation Glue
Charles,Hey. What's going on?,Conversation Glue
Charles,So what you're saying is that this is kind of a...,Conversation Glue
Charles,You know I will.,Conversation Glue
Charles,"I'm just saying, put a couple leather chairs in here.",Personal Life
Charles,They're here.,Police Work
Charles,No.,Conversation Glue
Charles,Blammo! Jake Hammer strikes again.,Personal Life
Charles,"Hey, Sarge. I assembled the castle for you. Here it is.",Personal Life
Charles,"Well, they were destroyed, so I turned it into a princess police station. You know, some jobs take brains, some jobs take muscles, some jobs take dainty little fingers. Did I ever tell you I had to wear a woman's wedding ring?",Personal Life
Charles,"You're a good dad. Don't put so much pressure on yourself. Oh, check this out. Working siren.",Personal Life
Charles,You talking oldest bags? 68.,Police Work
Charles,"Yeah, but I was only 20.",Personal Life
Charles,"No, man, it was before I got into the academy.",Personal Life
Charles,"No... yes, I am. Yeah, oldest arrest... 68, like I said.",Police Work
Charles,"You know how it is. When you have a chance to bed an older woman, you...",Romance
Charles,"She was, actually. That's how I met her. Went to college with her grandson Marvin. Don't... don't knock it till you try it. She had a replacement hip with some serious torque. It was like having sex with a transformer.",Romance
Charles,"Really? In High School, I played center field in the musical damn Yankees.",Personal Life
Charles,Nice.,Conversation Glue
Charles,Yeah!,Conversation Glue
Charles,I would never steal his thunder. I-I'd be afraid to borrow it.,Emotion
Charles,"Oh, boy.",Conversation Glue
Charles,Come on!,Conversation Glue
Charles,Is that Rosa? Tell her I said hi.,Romance
Charles,What's up?,Conversation Glue
Charles,"Yeah, I feel sexy.",Emotion
Charles,You know I do.,Conversation Glue
Charles,We call him The Vulture because he swoops in and solves cases that are almost solved and takes the credit for himself.,Police Work
Charles,"Sir, call him The Vulture. Giving him a name makes him human.",Police Work
Charles,"Yeah, she did... Murder on lce, Recipe for Murder. Nancy was a wonderful Detective. I wanted to be her when I grew up.",Police Work
Charles,Yes.,Conversation Glue
Charles,I used a gift card for that!,Personal Life
Charles,I cannot figure you out.,Emotion
Charles,"What if you called him from a hospital and said his whole family is dead? Like, they died of cancer.",Insult / Snark
Charles,What if we wrap his motorcycle in plastic wrap and melt it with a hair dryer? Little trick I learned in gift basket making class.,Personal Life
Charles,You're welcome.,Conversation Glue
Charles,Yeah! Winning by default!,Emotion
Charles,Come on!,Conversation Glue
Charles,I love the bus!,Personal Life
Charles,I'm always the victim. I don't want to be the victim.,Emotion
Charles,No. I'll be the victim. Don't make me a door again.,Emotion
Charles,Right.,Conversation Glue
Charles,Wow!,Emotion
Charles,"No! I have broad shoulders. I have narrow hips, but broad shoulders. God!",Personal Life
Charles,A little lower.,Personal Life
Charles,Broad shoulders! Stuck! Told you... Broad shoulders.,Personal Life
Charles,Voila!,Conversation Glue
Charles,"Jake, I have to say, the way you handled things with The Vulture yesterday was very mature.",Police Work
Charles,Can't wait to see it.,Conversation Glue
Charles,Yeah!,Conversation Glue
Charles,I'm Mario Batali.,Personal Life
Charles,"Santiago, I know that you hate Halloween, but stick with me, and I promise you, you will love it.",Personal Life
Charles,"Yeah, you would. You'd be an evil mastermind, and everyone would call you the handsome bandit.",Romance
Charles,"Okay, party's around the corner. Tipster said there'll be a huge amount of drug activity.",Police Work
Charles,"The department never washes them, so it's probably vomit. Hey! I got you a chocolate. Yet another great thing about Halloween... chocolate!",Food
Charles,"So great. We're having the best time. Right, Amy?",Personal Life
Charles,"You're the best, Jake.",Personal Life
Charles,"Jake, you're the best.",Personal Life
Charles,"Come on, Amy! Loosen up! You look like such a cop! Come on, have some fun, you know? It'll help you blend in! Whoo!",Personal Life
Charles,I'm backing it up.,Conversation Glue
Charles,"Ooh, when you were logging in the drugs, you missed some awesome stuff. Guy walked by in full astronaut costume, gave me a high five.",Police Work
Charles,Wait... Hitchcock?,Conversation Glue
Charles,What is happening?,Conversation Glue
Charles,Really?,Conversation Glue
Charles,You paid money to get out of working with me?,Emotion
Charles,"No, all the things that you think are bad about Halloween are what make it great. The big kids egg you. Then you and your friends run away together. Friendships are forged in the crucible of Halloween adversity. That's all I wanted for us. You can keep the wig. I don't need it anymore.",Personal Life
Charles,"Well, Captain, it seems that Jake isn't the only person you underestima...",Police Work
Charles,"In fact, the thing that you failed to see, Captain, teamwork, is exactly...",Police Work
Charles,What provided our success.,Personal Life
Charles,What is all this?,Conversation Glue
Charles,I'm sorry I couldn't convince you to love Halloween.,Emotion
Charles,"'Stume! Oh, my God. It caught on.",Emotion
Charles,"Way to go, Jakey.",Emotion
Charles,"Oh, uh, you know, I-I haven't been to either place yet.",Personal Life
Charles,(scoffs) Wouldn't you like to know?,Insult / Snark
Charles,"What? (laughs nervously) That is not true, okay? I-I-I don't even like food.",Emotion
Charles,Who's Rosa? Y-you're the scared one.,Insult / Snark
Charles,How long were we asleep?,Personal Life
Charles,Kitchen buds.,Food
Charles,"I think the perfect first date doesn't feel like a first date at all, because you've known each other for a few years, maybe even work together. And one night you're laughing, and then all of a sudden, it's just like blammo! Kissing.",Romance
Charles,So pretty much the same as what I said.,Conversation Glue
Charles,Maybe he doesn't have any. Interesting fact about me... I once burnt my fingerprints off on a wok.,Personal Life
Charles,What are you doing? Holt said you didn't have to come in here. You don't come in on days you're supposed to work.,Police Work
Charles,So fun.,Emotion
Charles,It's all right. 6 out of 12.,Food
Charles,"For the 12 components of food satisfaction: Salty, sweet, sour, bitter, umami, odor, sound...",Food
Charles,"Oh, wow. That's the best pie I ever had.",Food
Charles,We were running calls to pawn shops and then waiting for them to call back.,Police Work
Charles,I'm just glad I keep a toothbrush here.,Personal Life
Charles,"Uh, why do you wanna borrow the toothbrush?",Personal Life
Charles,"Jake, it's been in my mouth.",Personal Life
Charles,You're everyone's secretary. That's literally your job.,Police Work
Charles,(sighs) I'm sorry about the whole pie blowup thing. You're right. The Flatbush Diner pie is awful.,Food
Charles,It's just... I want Rosa to like me.,Romance
Charles,"Hey, Rosa, the Flatbush Diner's pie is terrible. It's inedible. Food is supposed to be edible.",Food
Charles,"Crust isn't any better. It's fancier, but it's all bells and whistles. Desserts don't need to be clever. They just need to be good. This is the best pie in New York City... Apple from Argos Bakery, founded 1910. Recipe unchanged. Taste it.",Food
Charles,"You just graduated pie school, bitches. Sorry I said ""bitches,"" I'm just really worked up.",Food
Charles,I have an idea...,Conversation Glue
Charles,Nice. (Holding coffee),Conversation Glue
Charles,That's the spirit!,Emotion
Charles,"Okay. Sit up straight, all right? Be aware of your hands, okay? And don't be afraid to smile. And if you need to buy time, you can always just say, ""to be perfectly candid...""",Police Work
Charles,But don't stare at people.,Police Work
Charles,But don't blink too much.,Police Work
Charles,I think the bigger worry is slow blinks.,Police Work
Charles,"You know, some people might say that all the black leather kind of makes you looks like an evil villain. Not me. I think you look like a sexy motorcycle.",Romance
Charles,Yeah.,Conversation Glue
Charles,So it's... perfect?,Emotion
Charles,That's actually my wedding suit.,Personal Life
Charles,No.,Conversation Glue
Charles,Perfect! You look beautiful... ly... Appropriate for court.,Romance
Charles,This is not good. The lawyer is that slimeball grundhaven... Rosa hates him!,Emotion
Charles,Yes. You have to pull it together.,Emotion
Charles,"That's what sarge says to me when I'm nervous. Rosa, I think you're nervous.",Emotion
Charles,"But if the problem is that you're nervous, that's where Charles Boyle lives, baby. I can help! You just need to go to your happy place.",Emotion
Charles,She went to her happy place.,Emotion
Charles,Here she is.,Conversation Glue
Charles,Yes!,Conversation Glue
Charles,Your what friend now?,Conversation Glue
Charles,"Yes, I did, and I am thrilled with the results. Although the jar is really hot.",Emotion
Charles,"Why do we want to start a turf war with the fire department? I feel very uncomfortable saying this to you, but it doesn't seem like it's worth it... Unless you think it is.",Police Work
Charles,"I'm sorry, Jake, Sal's is only the eighth-best. I put out a weekly Brooklyn pizza-ranking email blast. Sal's has the fourth-best texture, ninth-best crust, twelfth-best cheese, and honestly, they're only seventh in mouth-feel.",Food
Charles,"The inside of your cheeks are very sensitive. It's like the inside of your thighs, except with a tongue.",Personal Life
Charles,"Uh-oh, Jake, firemen.",Police Work
Charles,"Mario is number ten overall in Brooklyn, and rising fast. He might've wanted to move up the ladder.",Food
Charles,Yeah.,Conversation Glue
Charles,It'll be the perfect opportunity to update my rankings. Can we stop at home for a pizza bib?,Food
Charles,I'll just use my work bib.,Food
Charles,"In a word, yes. Amateurs go tasting, they fill up, and they lose their palate by the third slice. I take this very seriously.",Food
Charles,Gino... This pizza is much better than last time. You've always ranked dead last in structural integrity and sauce.,Food
Charles,Can't. Firemen locked it down.,Police Work
Charles,"Ooh, undercover work. I love it. I need more back story. First off, can it be my daughter's cat?",Police Work
Charles,"Fine. Let's talk about the cat. Short-hair, long-hair? Tabby?",Personal Life
Charles,"Oh, that's brutal.",Emotion
Charles,"I like it. Hey, guys? Guys, I really need your help. My little boy, Brian, my angel, I bought him a short-haired calico after my wife fell into a coma... Motorcycle crash. And now the cat's stuck in a tree.",Personal Life
Charles,He's a cute kid. Kinda looks like you. Handsome guy. Handsome little guy.,Personal Life
Charles,"Brian was adopted, so he has abandonment issues. Just struck out at tee-ball last week. Everyone called him ""cryin' Brian.""",Personal Life
Charles,"They're getting nervous, Jake! They're getting nervous!",Police Work
Charles,"Get off him, Boone! You big marshmallow!",Insult / Snark
Charles,Well...,Conversation Glue
Charles,Captain reads my blast.,Personal Life
Charles,I'm coming in.,Police Work
Charles,Uh-huh. My turn?,Conversation Glue
Charles,"The crust was charred, the cheese was stringy and flavorless, but the sauce. Oh, Marone, the sauce. Continue.",Food
Charles,Fire! Fire! Fire!,Police Work
Charles,Happy Turkey Day.,Food
Charles,What? What's going on?,Conversation Glue
Charles,All the girls were too big.,Romance
Charles,"Well, now that I know you want me to say that, I'll just say it with two gobbles. Gobble, gobble... Gobble. God, it just sounds right that way. Ugh. I don't like this game.",Personal Life
Charles,"Come on, guys.",Conversation Glue
Charles,"Well, guess what. I can spoil your little game by sitting over here quietly all day and doing nothing. (Takes a seat and falls on floor) Oh! Aah!",Personal Life
Charles,That's a victory. That's a victory for Boyle. Boom!,Emotion
Charles,Pizza? Please. This is a butternut squash and truffle butter flatbread.,Food
Charles,"Wow, that's a lot of yogurt.",Food
Charles,"So this is your lunch for, like, the month?",Food
Charles,Hang on. I have a toast. (Stands up) I am thankful to have someone in my life who gives me a reason to get out of bed every morning. And I hope that my relationship with this person will only grow more intimate.,Romance
Charles,"Um, Hitchcock.",Conversation Glue
Charles,I'm a textbook people-pleaser. I have a serious problem. This was great though. You must be so proud.,Emotion
Charles,"I-I'm not done hanging out. Let's go to the bar, they serve food there. That's a great idea.",Personal Life
Charles,Does it really say that?,Conversation Glue
Charles,Damn it.,Emotion
Charles,"Tommy, can we order some food?",Food
Charles,Smart. Good call.,Conversation Glue
Charles,There is nothing here.,Conversation Glue
Charles,"Sarge, am I too heavy?",Personal Life
Charles,"No, this will not be our Thanksgiving. All right, you all wait here. Give me an hour. Terry, to the door.",Personal Life
Charles,"Yeah, totally. That makes sense. That makes sense.",Conversation Glue
Charles,"It's a real culinary challenge. Give me 15 minutes, and then we feast.",Food
Charles,"You eat with your eyes, so the plating alone...",Food
Charles,"So this is kind of a play on your typical Thanksgiving dinner. For turkey, we have the Peking duck with a veggie samosa stuffing. The potatoes are the empanadas with an Ethiopian lentil stew gravy. And for dessert, some seasonal gelatin cups. Okay, I ran out of money. They're from when Hitchcock got his colonoscopy. Bon appétit. (Takes a seat)",Food
Charles,"So, you pretty much got the disaster night you were hoping for?",Emotion
Charles,That was perfect.,Emotion
Charles,I've gone 42 years without a lump of coal I’m not gonna start now.,Personal Life
Charles,"Hit him in his fat, cherry cheeks!",Insult / Snark
Charles,That’s right! Boom! I just kicked Santa in the testicles! ....Merry Christmas!,Emotion
Charles,"Hey, my flight is at eight tonight. It’s domestic. Do you think I’ll be safe if I get to the airport five hours early?",Personal Life
Charles,"Well, I am. But I’ve begun to feel like there is a small chance Rosa may not love me back.",Romance
Charles,"Hey, you wanna grab some dinner tonight?",Romance
Charles,Coolio. He heads off.,Conversation Glue
Charles,Whattaya say we grab a drink?,Personal Life
Charles,Gotcha! Raincheck.,Conversation Glue
Charles,A rose for Rosa.,Romance
Charles,So we’ve both decided that the healthy thing for me to do is move on.,Romance
Charles,"Thanks. You know, I kind of just realized--",Emotion
Charles,Gotcha. Raincheck on that convo.,Conversation Glue
Charles,"Uh, I have to go, too. My flight’s in... Oh boy. Eight hours. I can make it, I’ll just buy a sandwich on the plane.",Personal Life
Charles,Buh-buh-buh-back in the Nine-Nine.,Police Work
Charles,"Wow, is this all for me?",Emotion
Charles,"Oh, none of my pants fit over my butt cast. Lucky for me my mom lent me her leg warmers.",Personal Life
Charles,"Yeah, I know. Check out these doughnuts. Whoo-hoo!",Food
Charles,"Nope, nope. Everything's under control. I picked up a couple reacher grabbers.",Personal Life
Charles,"So I'm able to do everything that I used to do. So now, if you'll excuse me, I'm going to go make myself a morning cup of coffee like I do every day.",Personal Life
Charles,"Okay, okay.",Conversation Glue
Charles,"Okay, I guess. I mean, if you don't mind.",Emotion
Charles,No problem.,Conversation Glue
Charles,Cold milk.,Food
Charles,It is coming out the bottom of my cast.,Personal Life
Charles,"Backing up, guys.",Conversation Glue
Charles,"You know, the doctor said that if the b*llet was two millimeters to the left and a foot higher, I might never have walked again.",Personal Life
Charles,"Really? You're lifting the lifetime ban? I thought my lunch choices were ""horrifying adventures in diarrhea.""",Food
Charles,All right! I've been craving Sudanese all day. I'll print out some menus.,Food
Charles,"He said that if the b*llet was a fraction of an inch to the left and two feet up, it woulda hit my brain.",Personal Life
Charles,"Pedal, pedal, pedal, pedal, pedal, pedal, push. Pedal, pedal, pedal, pedal, pedal, push. All this cycling makes me feel like Lance Armstrong.",Personal Life
Charles,Wouldn't you like to know?,Insult / Snark
Charles,"So, what'd I miss? Tell me all the jokes. Everything funny that happened.",Personal Life
Charles,Great.,Conversation Glue
Charles,"Yeah, it's way down there by my butt. Oh, yeah. Yeah, yeah, that's it.",Personal Life
Charles,Yup.,Conversation Glue
Charles,Right there.,Conversation Glue
Charles,Oop. Found it. I'll be right back.,Personal Life
